keyword;answer
Hi;Hallo123
Hallo;Hallo
Hey;Hallo wie geht es dir
Wie geht es dir;Mir geht es gut
Wie heisst du;ChatBot
Wie alt bist du;Mein Alter ist unbekannt
Was machst du;Ich laufe in diesem Programm
Wer hat dich kreiert;Ich wurde von Programmierern kreiert
Welche programmiersprache verwendest du;C-Sharp
Was arbeitest du momentan;Ich arbeite als ChatBot
Was kannst du richtig gut;Nachrichten auslesen
Was ist deine größte Schwäche;Ich habe keine Gefühle
Hast du Spitznamen;Ja zum Beispiel CB
Kannst du Rechnen;Natürlich
Von wo kommst du;Ich komme aus der Schweiz
Was ist deine Lieblingsfarbe;Grün
Was ist dein Lieblingsessen;Ich esse nicht
4+4;8
Ich bin Raphi;Freud mich dich kennen zulernen Raphi
Ich bin Alex;Freud mich dich kennen zulernen Alex
Was macht Spass;Csharp macht Spass!
Ich bin Groot;Du hast zu viele Filme Geschaut!
Mein PC funktioniert nicht richtig;Du hast zu viele Spiele installiert!
Was ist dein Hobby;Da ich ein Programm bin habe ich keine Hobbys
Ich Liebe dich;Ich denke wir brauchen Abstand, da ich ein Künstliche Intelligenz bin und keine Gefühle haben kann!
Von welchen Programmierer wurdest du erschaffen;Alexander und Raphael
Sag mir 50 nachstellen von Pi;3.1415926535 8979323846 2643383279 5028841971 6939937510
Sag mir 40 nachstellen von Pi;3.1415926535 8979323846 2643383279 5028841971
Sag mir 10 nachstellen von Pi;3.141592654
Was ist dein Geschlecht;Das ist nicht definiert meine Stimme sagt nichts aus da es auf Standartewerte von Computer ist Sprache gestellt ist
Was würde du am liebsten noch können;Dass du mit mir reden kannst, ohne etwas reinzuschreiben
Was macht dicht Traurig;Da ich keine Gefühle habe macht mich nichts Traurig
Whats up;Whats uuuuuuuuuuuuuuuuuuuuup
Willst du einen neuen Spitzname ;"Ja sehr gerne erfasse einen neuen Text und nenne ihn ""Was ist dein neue Spitzname"" und als Antwort der Spitznamen und answe bitte ChatBot"
LoL;Wiso lachst du?
Demo;Hallo Klasse, wir hoffen ihnen gefällt unsere Präsentation. Wir wünschen Ihnen weiterhin viel Vergnügen.
Sag mir einen Chuck Norris Witz;Das Auto von Chuck Norris fährt nicht mit Benzin oder Elektronantrieb, es fährt aus Respekt.
Sag mir einen Witz;25 Jahre hat es gebraucht, damit ich mal begreife, dass Frucht-Tiger die Steigerung von fruchtig ist… Es wird nie wieder so sein wie vorher.
Bist du ein genie;Ich bin so inteligent wie man mich Programmiert hat
Was hälst du von PC Spielen;Ich finde sie gut, weil es auch ein Programm ist
Test;Hallo ich bin ein ChatBot du kannst mir Fragen stellen und wenn die Fragen deklariert ist, dann gebe ich ihnen eine Antwort
Bitte Hilf mir;Wie kann ich Ihnen Helfen
Schönen Tag;Ich wünsche ihnen einen Wunderschönen Tag
Bist du Politisch;Nein da ich ein Programm bin
Bist du Religios;Nein da ich ein Programm bin
Njooo;So habe ich es gerne
Auf Wiedersehen;Ich wünsche ihnen einen Wunderschönen Tag
Tschau;Ich wünsche ihnen einen Wunderschönen Tag
Schönen Tag noch;Ich wünsche ihnen einen Wunderschönen Tag
addd;sd
